Название вина,Категория,Цвет,Регион,Сорт винограда,Описание,Винодельня,Slug,Название фото,photo_path,match,tier,is_stale,alias_group
Траминер,Белое,Золотистый с вкраплениями зеленого.,Кубань,Траминер,"Вкус: Тонкий, изысканный, с оттенками цветов. Текстура бархатистая, послевкусие приятное, мягкое. Насыщенный цветочно-травяной с нотами розы и зелени.",Chateau Andre,chateau-andre-traminer-beloe-suhoe-135,chateau-andre-traminer-beloe-suhoe-135.webp,prod-svoe-vino-strapi\chateau_andre_traminer_beloe_suhoe_135_56ed4fb5e5.webp,ok,1,False,
Траминер,Белое,Бледно-соломенный цвет с золотистым отблеском,Крым,Траминер,"Аромат цветочно-плодовый с оттенками цветов белого шиповника, цитрусовой цедры и легкими пряными нотками. Вкус гармоничный, с умеренной кислотностью и приятным минерально-пряным послевкусием.",Alma Valley,alma-valley-traminer-beloe-suhoe-125,alma-valley-traminer-beloe-suhoe-125.webp,prod-svoe-vino-strapi\alma_valley_traminer_beloe_suhoe_125_535f55a570.webp,ok,1,False,
Траминер десертное,Белое,Янтарный,Крым,Траминер,"В аромате варенье из инжира, алычи, белой черешни, гречишный мёд, пряные оттенки. Во вкусе белая черешня, айва, инжир, варенье из крыжовника. Продолжительное сбалансированное послевкусие.",ЗМВ Коктебель,zmv-koktebel-traminer-desertnoe-beloe-sladkoe-16,zmv-koktebel-traminer-desertnoe-beloe-sladkoe-16.webp,prod-svoe-vino-strapi\zmv_koktebel_traminer_desertnoe_beloe_sladkoe_16_be1e195feb.webp,ok,1,False,
Траминер Оранж,Оранжевое,Светло-желтый,Крым,Траминер Розовый,"Вкус: С нотами тропических фруктов, белой вишни, персика, винограда, цветов и утонченной ягодной кислинкой. С оттенками ромашки, липы, флердоранжа, мандарина, лимона, специй, айвы, крыжовника.",ВайнКрафт,vaynkraft-traminer-oranzh-traminer-rozovyy-oranzhevoe-suhoe-125,vaynkraft-traminer-oranzh-traminer-rozovyy-oranzhevoe-suhoe-125.webp,prod-svoe-vino-strapi\vaynkraft_traminer_oranzh_traminer_rozovyy_oranzhevoe_suhoe_125_8a46ea97b3.webp,ok,1,False,
Траминер Оранж 2,Оранжевое,"Светлый, соломенного оттенка",Крым,Траминер Розовый,"Вкус: Мягкий, фруктовый, с приятной сбалансированной кислинкой и свежим послевкусием. Яркий, фруктовый, с сочными тонами тропических плодов, сладкого апельсина, летнего цветущего луга и сладких специй.",ВайнКрафт,vaynkraft-traminer-oranzh-2-traminer-rozovyy-oranzhevoe-suhoe-125,vaynkraft-traminer-oranzh-2-traminer-rozovyy-oranzhevoe-suhoe-125.webp,prod-svoe-vino-strapi\vaynkraft_traminer_oranzh_2_traminer_rozovyy_oranzhevoe_suhoe_125_3c507d40ce.webp,ok,1,False,
Траминер. Бурлюк,Белое,Соломенный,Крым,Траминер Розовый,"Вкус: Свежий, с сочной кислотностью и стойким, выразительным послевкусием. Яркий, с оттенками спелого персика, цитрусовых фруктов, специй, розы и пиона, дополненных мускатными и минеральными штрихами.",Валерий Захарьин,valeriy-zaharin-traminer-burlyuk-traminer-rozovyy-beloe-suhoe-135,valeriy-zaharin-traminer-burlyuk-traminer-rozovyy-beloe-suhoe-135.webp,prod-svoe-vino-strapi\valeriy_zaharin_traminer_burlyuk_traminer_rozovyy_beloe_suhoe_135_229b0c4d18.webp,ok,1,False,
Траминер. Валерий Захарьин,Белое,Соломенный с розоватыми бликами.,Крым,Траминер Розовый,"Вкус: Фруктово-цветочный, с природной сладостью, тонкой кислотностью и достаточно продолжительным и ароматным послевкусием. С нотами зрелых сладких фруктов и чайной розы.",Валерий Захарьин,valeriy-zaharin-traminer-valeriy-zaharin-traminer-rozovyy-beloe-polusladkoe-105,valeriy-zaharin-traminer-valeriy-zaharin-traminer-rozovyy-beloe-polusladkoe-105.webp,prod-svoe-vino-strapi\valeriy_zaharin_traminer_valeriy_zaharin_traminer_rozovyy_beloe_polusladkoe_105_8a6a05ec27.webp,ok,1,False,
Трамонто,Красное,Вино глубокого непрозрачного рубинового цвета.,Крым,Каберне Совиньон,"Аромат соткан из нот вяленых ягод, лакрицы, джема из красной смородины, пастилы и кофе, сдобренных сладкими пряностями. Вкус полный, концентрированный, с гладкой структурой и отличным балансом. В длительном послевкусии согревающие ноты шоколада. Вино для спокойных медитативных вечеров после насыщенных рабочих будней.",Шато Ай-Даниль,shato-ay-danil-tramonto-kaberne-sovinon-krasnoe-suhoe-14,shato-ay-danil-tramonto-kaberne-sovinon-krasnoe-suhoe-vyderzhannoe-14.webp,prod-svoe-vino-strapi\shato_ay_danil_tramonto_kaberne_sovinon_krasnoe_suhoe_vyderzhannoe_14_63541d946c.webp,ok,1,False,
Трезвая голова. Каберне Фран + Красностоп,Красное,Тёмно-гранатовый,Кубань,"Каберне Фран, Красностоп Золотовский","В аромате ноты черных ягод. Во вкусе объёмное, со средними танинами. Длительное послевкусие чёрных ягод и пряных специй.",Собер Баш,sober-bash-trezvaya-golova-kaberne-fran-krasnostop-krasnoe-suhoe-13,sober-bash-trezvaya-golova-kaberne-fran-krasnostop-krasnoe-suhoe-13.webp,prod-svoe-vino-strapi\sober_bash_trezvaya_golova_kaberne_fran_krasnostop_krasnoe_suhoe_13_c95bc5ed9d.webp,ok,1,False,
Трезвая голова. Рислинг,Белое,Соломенный,Кубань,Рислинг Рейнский,"В аромате кожура зелёного яблока, белые цветы. Вкус освежающий, минеральный с мягкой кислотностью.",Собер Баш,sober-bash-trezvaya-golova-risling-risling-reynskiy-beloe-suhoe-10,sober-bash-trezvaya-golova-risling-risling-reynskiy-beloe-suhoe-10.webp,prod-svoe-vino-strapi\sober_bash_trezvaya_golova_risling_risling_reynskiy_beloe_suhoe_10_146c313d41.webp,ok,1,False,
Трезвая голова. Ркацители,Белое,Соломенный,Кубань,Ркацители,"В аромате цитрусовые ноты. Вкус легкий, цветочные нюансы и гармоничная кислотность.",Собер Баш,sober-bash-trezvaya-golova-rkatsiteli-beloe-suhoe-12,sober-bash-trezvaya-golova-rkatsiteli-beloe-suhoe-12.webp,prod-svoe-vino-strapi\sober_bash_trezvaya_golova_rkatsiteli_beloe_suhoe_12_511c1cd6b2.webp,ok,1,False,
Трезвая голова. Розовое,Розовое,Насыщенный розовый,Кубань,"Каберне Фран, Красностоп Золотовский, Пино Гри, Ркацители",В аромате красные ягоды с нотами сливочной карамели. Во вкусе красные ягоды.,Собер Баш,sober-bash-trezvaya-golova-rozovoe-krasnostop-zolotovskiy-suhoe-115,sober-bash-trezvaya-golova-rozovoe-krasnostop-zolotovskiy-suhoe-115.webp,prod-svoe-vino-strapi\sober_bash_trezvaya_golova_rozovoe_krasnostop_zolotovskiy_suhoe_115_7f51424925.webp,ok,1,False,
